occurrenceID	scientificName	decimalLatitude	decimalLongitude	accuracy	year	establishmentMeans	occurrenceOrigin	bibliographicCitation	associatedReferences	sourceCitation	associatedSequences	claimExtinction	occurrenceRemarks	confidentialityLevel	contributor
WG9053	Pontastacus leptodactylus	40.3566388888889	45.3280277777778	high	2018	indigenous	native	10.23859/estr-190513		Гукасян, Э. Х., Мелконян, Г. Ф., Степанян, Л. Г., & Бадалян, Н. С. (2019). Особенности развития популяции длиннопалого рака (Pontastacus leptodactylus Eschscholtz, 1823) в озере Севан в период 1996-2018 гг. Трансформация экосистем, (3), 85-93.			Lake full of endemics. Crayfish appeared recently, perhaps in 90s.	0	Olga N. Petko
WG9054	Pontastacus leptodactylus	40.6194166666667	64.5328055555556	high	2021	indigenous	native		https://ib.naskr.kg/live/index.php/journal/article/view/75	Мирабдуллаев, И. М., & Уразова, Р. С. (2021). РЕЧНЫЕ РАКИ–САМЫЕ КРУПНЫЕ БЕСПОЗВОНОЧНЫЕ ЖИВОТНЫЕ УЗБЕКИСТАНА КАК ОБЪЕКТ ПРОМЫСЛА И АКВАКУЛЬТУРЫ. Исследование живой природы Кыргызстана, (2), 122-123.			introduced from Russia in 70s	0	Olga N. Petko
WG9056	Pontastacus leptodactylus	41.8822222222222	48.4788333333333	high	2000	indigenous	native		https://static.freereferats.ru/_avtoreferats/01002636532.pdf?ver=8	Абдулгалимова, Т. А. (2004). Высшие ракообразные (Malacostraca) пресных водоемов Дагестана (Doctoral dissertation, Автореф. дис.… канд. биол. наук).				0	Olga N. Petko
WG9058	Pontastacus pachypus	42.2474722222222	52.4400833333333	high	2016	indigenous	native		https://elibrary.ru/item.asp?id=27547196	Ушивцев, В. Б. (2016). Особенности распространения популяций раков (Crustacea, Decapoda, Astacidae) на восточном шельфе Каспийского моря в период с 1915 по 2016 гг. In Морские биологические исследования: достижения и перспективы (pp. 313-316).				0	Olga N. Petko
WG9061	Pontastacus pachypus	43.1293055555556	51.4117222222222	high	2016	indigenous	native		https://elibrary.ru/item.asp?id=27547196	Ушивцев, В. Б. (2016). Особенности распространения популяций раков (Crustacea, Decapoda, Astacidae) на восточном шельфе Каспийского моря в период с 1915 по 2016 гг. In Морские биологические исследования: достижения и перспективы (pp. 313-316).				0	Olga N. Petko
WG9062	Pontastacus leptodactylus	43.5358055555556	47.4416111111111	high	2001	indigenous	native		https://static.freereferats.ru/_avtoreferats/01002636532.pdf?ver=8	Абдулгалимова, Т. А. (2004). Высшие ракообразные (Malacostraca) пресных водоемов Дагестана (Doctoral dissertation, Автореф. дис.… канд. биол. наук).				0	Olga N. Petko
WG9064	Pontastacus pachypus	43.6197777777778	51.1640555555556	high	2016	indigenous	native		https://elibrary.ru/item.asp?id=27547196	Ушивцев, В. Б. (2016). Особенности распространения популяций раков (Crustacea, Decapoda, Astacidae) на восточном шельфе Каспийского моря в период с 1915 по 2016 гг. In Морские биологические исследования: достижения и перспективы (pp. 313-316).				0	Olga N. Petko
WG9065	Pontastacus leptodactylus	43.6921944444444	47.3561388888889	low	2001	indigenous	native		https://static.freereferats.ru/_avtoreferats/01002636532.pdf?ver=8	Абдулгалимова, Т. А. (2004). Высшие ракообразные (Malacostraca) пресных водоемов Дагестана (Doctoral dissertation, Автореф. дис.… канд. биол. наук).				0	Olga N. Petko
WG9066	Pontastacus leptodactylus	43.8272222222222	47.2574166666667	low	2001	indigenous	native		https://static.freereferats.ru/_avtoreferats/01002636532.pdf?ver=8	Абдулгалимова, Т. А. (2004). Высшие ракообразные (Malacostraca) пресных водоемов Дагестана (Doctoral dissertation, Автореф. дис.… канд. биол. наук).				0	Olga N. Petko
WG9067	Pontastacus leptodactylus	44.2946111111111	46.7903333333333	low	2001	indigenous	native		https://static.freereferats.ru/_avtoreferats/01002636532.pdf?ver=8	Абдулгалимова, Т. А. (2004). Высшие ракообразные (Malacostraca) пресных водоемов Дагестана (Doctoral dissertation, Автореф. дис.… канд. биол. наук).				0	Olga N. Petko
WG9069	Pontastacus pachypus	44.5928055555556	50.2599166666667	high	2016	indigenous	native		https://elibrary.ru/item.asp?id=27547196	Ушивцев, В. Б. (2016). Особенности распространения популяций раков (Crustacea, Decapoda, Astacidae) на восточном шельфе Каспийского моря в период с 1915 по 2016 гг. In Морские биологические исследования: достижения и перспективы (pp. 313-316).				0	Olga N. Petko
WG9070	Pontastacus cubanicus	45.8473888888889	38.1376388888889	low	2020	indigenous	native		https://elibrary.ru/item.asp?id=44019723	Саенко, Е. М., & Марченко, А. О. (2020). РЕЗУЛЬТАТЫ ИССЛЕДОВАНИЯ СОСТОЯНИЯ ПОПУЛЯЦИИ РАКОВ В АХТАРСКО-ГРИВЕНСКИХ ЛИМАНАХ В 2020 ГОДУ. In Промысловые беспозвоночные (pp. 68-72).			the whole group of coastal salt lakes	0	Olga N. Petko
WG9071	Pontastacus cubanicus	46.3944444444444	42.5744444444444	high	2018	indigenous	native		http://hdl.handle.net/1834/16189	Glushko, E. Y. (2019). Results of investigation of the crayfish populations in the water bodies of the Rostov Region in 2017–2018.				0	Olga N. Petko
WG9072	Pontastacus pachypus	46.6107222222222	48.5633333333333	low	2015	indigenous	native		https://elibrary.ru/item.asp?id=26031872	Кузьняткина, А. А., Абдошова, М. М., & Джунусова, Г. Г. (2016). ПИТАНИЕ ЩУКИ В РЕКЕ КИГАШ. In Проблемы развития современной науки (pp. 28-29).				0	Olga N. Petko
WG9073	Pontastacus cubanicus	47.0601666666667	41.0787222222222	high	2022	indigenous	native		https://elibrary.ru/item.asp?id=53844882	Саенко, Е. М., & Котов, С. В. (2023). Результаты исследований состояния популяций раков Веселовского водохранилища Ростовской области. In Инновационные направления интеграции науки, образования и производства (pp. 491-495).				0	Olga N. Petko
WG9074	Pontastacus cubanicus	47.1083333333333	40.9130555555556	high	2018	indigenous	native		http://hdl.handle.net/1834/16189	Glushko, E. Y. (2019). Results of investigation of the crayfish populations in the water bodies of the Rostov Region in 2017–2018.				0	Olga N. Petko
WG9075	Pontastacus cubanicus	47.1952777777778	40.5338888888889	high	2018	indigenous	native		http://hdl.handle.net/1834/16189	Glushko, E. Y. (2019). Results of investigation of the crayfish populations in the water bodies of the Rostov Region in 2017–2018.				0	Olga N. Petko
WG9076	Pontastacus cubanicus	47.3511388888889	42.1599166666667	low	2018	indigenous	native		http://hdl.handle.net/1834/16189	Glushko, E. Y. (2019). Results of investigation of the crayfish populations in the water bodies of the Rostov Region in 2017–2018.			river Sal's basin	0	Olga N. Petko
WG9077	Pontastacus leptodactylus	47.4115833333333	46.9808333333333	low	2020	indigenous	native		https://cyberleninka.ru/article/n/indikatornyy-podhod-v-kachestvennoy-otsenke-sostoyaniya-zapasa-dlinnopalogo-raka-v-reke-volga-i-eyo-vodotokah-astrahanskaya-oblast	Сафаралиев, И. А., Барабанов, В. В., & Мазникова, О. А. (2023). Индикаторный подход в качественной оценке состояния запаса длиннопалого рака в реке Волга и её водотоках (Астраханская область). Труды ВНИРО, 191, 25-36.				0	Olga N. Petko
WG9078	Pontastacus leptodactylus	48.0134444444444	83.8609166666667	high	2006	indigenous	native		https://elibrary.ru/item.asp?id=27440131	Кириченко, О. И., & Ануарбеков, С. М. (2016). Состояние биоразнообразия водоемов иртышского бассейна и влияние чужеродных видов на экосистему. Евразийский Союз Ученых, (4-4 (25)), 112-116.			Alien	0	Olga N. Petko
WG9079	Pontastacus leptodactylus	48.4481111111111	83.4536111111111	high	2015	indigenous	native		https://cyberleninka.ru/article/n/uzkopalye-rechnye-raki-astacus-leptodactylus-v-pitanii-hohotuni-larus-cachinnans-v-nizovyah-buhtarmy	Березовиков, Н. Н. (2019). Узкопалые речные раки Astacus leptodactylus в питании хохотуньи Larus cachinnans в низовьях Бухтармы. Русский орнитологический журнал, 28(1778), 2558-2560.			introduced in the past 20 years, no exact date	0	Olga N. Petko
WG9080	Pontastacus leptodactylus	48.4748611111111	83.45325	high	2006	indigenous	native		https://elibrary.ru/item.asp?id=27440131	Кириченко, О. И., & Ануарбеков, С. М. (2016). Состояние биоразнообразия водоемов иртышского бассейна и влияние чужеродных видов на экосистему. Евразийский Союз Ученых, (4-4 (25)), 112-116.			Alien	0	Olga N. Petko
WG9081	Pontastacus leptodactylus	48.9773888888889	23.9861666666667	high	2012	indigenous	native	DOI 10.2478/vzoo-2013-0020		Kostyuk, V. S., Garbar, A. V., & Mezhzherin, S. V. (2013). Karyotypes and morphological variability of crayfish Pontastacus leptodactylus and P. angulosus (Malacostraca, Decapoda). Вестник зоологии, (47,№ 3), 205-210.				0	Olga N. Petko
WG9082	Pontastacus leptodactylus	49.0801666666667	24.7971666666667	high	2012	indigenous	native	DOI 10.2478/vzoo-2013-0020		Kostyuk, V. S., Garbar, A. V., & Mezhzherin, S. V. (2013). Karyotypes and morphological variability of crayfish Pontastacus leptodactylus and P. angulosus (Malacostraca, Decapoda). Вестник зоологии, (47,№ 3), 205-210.			Pontastacus angulosus	0	Olga N. Petko
