Species	Vernacular_Names																																								
Pacifastacus leniusculus	Signal crayfish(eng)	rak signální(ces)	Signalkrebs(deu)	rak sygnałowy(pol)	rak szwedzki(pol)	американский сигнальный рак(rus)	signalkreps(nor)	signalkräfta(swe)	žymėtasis vėžiai(lit)	jelzőrák(hun)	cangrejo señal(esp)	signaalvähk(est)	signālvēzis(lav)	täplärapu(fin)	signaalkreeft(nld)	 ウチダザリガニ 	 タンカイザリガニ 	 シグナルザリガニ (jpn)	écrevisse signal(fra)	ecrevisse du pacifique(fra)	écrevisse de Californie(fra)	signalni rak(srb)	gambero della California(ita)	signalni rak(slo)	signalni rak(bih)	signalni rak(hrv)															
Pacifastacus malheurensis	Misfortunate crayfish(eng)																																								
Pacifastacus okanaganensis	Okanagan crayfish(eng)																																								
Parastacus bah	bah crayfish(eng)	lagostim de água doce(por)																																							
Parastacus brasiliensis	lagostim de água doce(por)																																								
Parastacus buckupi	Buckup crayfish(eng)	lagostim de água doce(por)																																							
Parastacus dincaoi	D’incao crayfish(eng)	lagostim de água doce(por)																																							
Parastacus fluviatilis	highland streams crayfish(eng)	lagostim de água doce(por)																																							
Parastacus gomesae	Gomes crayfish(eng)	lagostim de água doce(por)																																							
Parastacus guapo	Guapo crayfish(eng)	lagostim de água doce(por)																																							
Parastacus heterochaelis	lagostim de água doce(por)																																								
Parastacus laevigatus	lagostim de água doce(por)																																								
Parastacus longidactylus	lagostim de água doce(por)																																								
Parastacus macanudo	Macanudo crayfish(eng)	lagostim de água doce(por)																																							
Parastacus manezinho	Manezinho crayfish(eng)	lagostim de água doce(por)																																							
Parastacus nicoleti	camarón de vega del sur(spa)																																								
Parastacus pilicarpus	lagostim de água doce(por)																																								
Parastacus pilimanus	camarón excavador(spa)	lagostim de água doce(por)																																							
Parastacus promatensis	lagostim de água doce(por)																																								
Parastacus pugnax	camarón de vega(spa)																																								
Parastacus quasimodo	Quasimodo crayfish(eng)	lagostim de água doce(por)																																							
Parastacus rudolphi	Rudolph crayfish(eng)	lagostim de água doce(por)																																							
Parastacus saffordi	lagostim de água doce(por)																																								
Parastacus schubarti	Schubart crayfish(eng)	lagostim de água doce(por)																																							
Parastacus tuerkayi	Tuerkay crayfish(eng)	lagostim de água doce(por)																																							
Parastacus varicosus	lagostim de água doce(por)																																								
Pontastacus cubanicus	кубанский рак(rus)	кубанский длиннопалый рак(rus)																																							
Pontastacus eichwaldi	каспийский рак(rus)	каспийский длиннопалый рак(rus)																																							
Pontastacus kessleri																																									
Pontastacus leptodactylus	narrow-clawed crayfish(eng)	racul de lac(ron)	racul de Dunăre(ron)	Galizischer Sumpfkrebs(deu)	rak bahenní(ces)	узкопалый рак(rus)	узкопалый речной рак(rus)	длиннопалый рак(rus)	длиннопалый речной рак(rus)	rak błotny(pol)	rak stawowy(pol)	kecske rák(hun)	kitsasõraline vähk(est)	tatlısu ıstakozu(trk)	kerevit(trk)	Türk kereviti(trk)	dar kıskaçlı kerevit(trk)	dar pençeli kerevit(trk)	Galiçya kereviti(trk)	Tuna kereviti(trk)	šaurspīļu vēzis(lav)	kapeasaksirapu(fin)	siauražnyplis vėžys(lit)	cangrejo de río del Danubio(esp)	Turkse rivierkreeft(nld)	écrevisse à pattes grèles(fra)	écrevisse turque(fra)	çay xərçəngi(aze)	xərçəng(aze)	uzunbarmaq çay xərçəngi(aze)	dunavski rak(srb)	езерен рак(bul)	ozkoškarjevec(slo)	barski rak(bih)	gambero turco(ita)	خرچنگ دراز آب شیرین(fas)	خرچنگ دراز چنگال باریک(fas)	uskoškari rak(hvr)	turski rak(hvr)	barski rak(hvr)	ვიწროფეხა მდინარის კიბო(kat)
Pontastacus pachypus	толстопалый рак(rus)	толстопалый речной рак(rus)	სქელმარწუხებიანი კიბო(kat)	thick-clawed crayfish(eng)	Caspian crayfish(eng)																																				
Pontastacus pylzowi	Pilzov çay xərçəngi(aze)	პევცოვის კიბო(kat)																																							
Procambarus ablusus	Hatchie River crayfish(eng)																																								
Procambarus acherontis	Orlando cave crayfish(eng)																																								
Procambarus acutissimus	Sharpnose crayfish(eng)																																								
Procambarus acutus	White River crawfish(eng)	gestreepte Amerikaanse rivierkreeft(nld)																																							
Procambarus advena	Vidalia crayfish(eng)																																								
Procambarus albaughi	Albaugh's crayfish(eng)																																								
Procambarus alleni	Everglades crayfish(eng)	rak florydzki(pol)	floridai kék rák(hun)	cangrejo de río de los Everglades(esp)	cangrejo de río de Florida(esp)	cangrejo de río azul(esp)																																			
Procambarus ancylus	Coastal Plain crayfish(eng)																																								
Procambarus apalachicolae	Coastal flatwoods crayfish(eng)																																								
Procambarus barbatus	Wandering crayfish(eng)																																								
Procambarus barbiger	Jackson Prairie crayfish(eng)																																								
Procambarus bivittatus	Ribbon crayfish(eng)																																								
Procambarus blandingii	Santee crayfish(eng)																																								
Procambarus brazoriensis	Brazoria crayfish(eng)																																								
Procambarus capillatus	Capillaceous crayfish(eng)																																								
Procambarus caritus	Poor crayfish(eng)																																								
Procambarus chacei	Cedar Creek crayfish(eng)																																								
Procambarus clarkii	Red swamp crayfish(eng)	Red Swamp Crawfish(eng)	Roter Amerikanischer Sumpfkrebs(deu)	rak luizjański(pol)	vörös mocsárrák(hun)	cangrejo rojo Americano(esp)	cangrejo rojo(esp)	cangrejo rojo de las marismas(esp)	langostilla roja(esp)	acocil(esp)	langostilla de río(esp)	rode Amerikaanse rivierkreeft(nld)	 アメリカザリガニ (jpn)	racul ornat(ron)	gambero rosso della Louisiana(ita)	gambero killer(ita)	 미국가재 (kor)	močvirski škarjar(slo)	rooimoeraskreef(afr)	กุ้งเครย์ฟิชอเมริกัน(tha)	crveni močvarni rak(hrv)																				
Procambarus clemmeri	Cockscomb crayfish(eng)																																								
Procambarus curdi	Red River burrowing crayfish(eng)																																								
Procambarus dupratzii	Southwestern creek crayfish(eng)																																								
Procambarus echinatus	Edisto crayfish(eng)																																								
Procambarus econfinae	Panama City crayfish(eng)																																								
Procambarus elegans	Elegant Creek crayfish(eng)																																								
Procambarus enoplosternum	Black mottled crayfish(eng)																																								
Procambarus epicyrtus	Humpback crayfish(eng)																																								
Procambarus escambiensis	Escambia crayfish(eng)																																								
Procambarus evermanni	Panhandle crayfish(eng)																																								
Procambarus fallax	Slough crayfish(eng)																																								
Procambarus fayettei	Fayette's crayfish(eng)																																								
Procambarus fitzpatricki	Spinytail crayfish(eng)																																								
Procambarus geminus	Twin crawfish(eng)																																								
Procambarus geodytes	Muddiver crayfish(eng)																																								
Procambarus gibbus	Muckalee crayfish(eng)																																								
Procambarus gracilis	Prairie crayfish(eng)																																								
Procambarus hagenianus hagenianus	Southeastern prairie crayfish(eng)																																								
Procambarus hagenianus vesticeps	Egyptian crayfish(eng)																																								
Procambarus hagenianus	Southeastern prairie crayfish(eng)																																								
Procambarus hayi	Straightedge crayfish(eng)																																								
